id,benchmark,setting,metric,metric_value,metric_stderr
Deci/DeciCoder-1b,drop,3-shot,accuracy,0.0006291946308724,0.0002568002749723
Deci/DeciCoder-1b,drop,3-shot,f1,0.0297881711409396,0.0009513874747103
Deci/DeciCoder-1b,gsm8k,5-shot,accuracy,0.0174374526156178,0.0036054868679982
Deci/DeciCoder-1b,winogrande,5-shot,accuracy,0.5082872928176796,0.0140505553228241
Deci/DeciCoder-1b,arc:challenge,25-shot,accuracy,0.1604095563139931,0.0107243360591109
Deci/DeciCoder-1b,arc:challenge,25-shot,acc_norm,0.2116040955631399,0.0119359163586328
Deci/DeciCoder-1b,hellaswag,10-shot,accuracy,0.2826130252937662,0.0044934958720001
Deci/DeciCoder-1b,hellaswag,10-shot,acc_norm,0.3108942441744672,0.0046191364973598
Deci/DeciCoder-1b,hendrycksTest-abstract_algebra,5-shot,accuracy,0.29,0.0456048021572068
Deci/DeciCoder-1b,hendrycksTest-abstract_algebra,5-shot,acc_norm,0.29,0.0456048021572068
Deci/DeciCoder-1b,hendrycksTest-anatomy,5-shot,accuracy,0.2592592592592592,0.0378571446506665
Deci/DeciCoder-1b,hendrycksTest-anatomy,5-shot,acc_norm,0.2592592592592592,0.0378571446506665
Deci/DeciCoder-1b,hendrycksTest-astronomy,5-shot,accuracy,0.2631578947368421,0.0358349617636106
Deci/DeciCoder-1b,hendrycksTest-astronomy,5-shot,acc_norm,0.2631578947368421,0.0358349617636106
Deci/DeciCoder-1b,hendrycksTest-business_ethics,5-shot,accuracy,0.33,0.047258156262526
Deci/DeciCoder-1b,hendrycksTest-business_ethics,5-shot,acc_norm,0.33,0.047258156262526
Deci/DeciCoder-1b,hendrycksTest-clinical_knowledge,5-shot,accuracy,0.2,0.0246182981958665
Deci/DeciCoder-1b,hendrycksTest-clinical_knowledge,5-shot,acc_norm,0.2,0.0246182981958665
Deci/DeciCoder-1b,hendrycksTest-college_biology,5-shot,accuracy,0.2638888888888889,0.0368565109589753
Deci/DeciCoder-1b,hendrycksTest-college_biology,5-shot,acc_norm,0.2638888888888889,0.0368565109589753
Deci/DeciCoder-1b,hendrycksTest-college_chemistry,5-shot,accuracy,0.26,0.0440844002276807
Deci/DeciCoder-1b,hendrycksTest-college_chemistry,5-shot,acc_norm,0.26,0.0440844002276807
Deci/DeciCoder-1b,hendrycksTest-college_computer_science,5-shot,accuracy,0.19,0.0394277244403662
Deci/DeciCoder-1b,hendrycksTest-college_computer_science,5-shot,acc_norm,0.19,0.0394277244403662
Deci/DeciCoder-1b,hendrycksTest-college_mathematics,5-shot,accuracy,0.22,0.0416333199893226
Deci/DeciCoder-1b,hendrycksTest-college_mathematics,5-shot,acc_norm,0.22,0.0416333199893226
Deci/DeciCoder-1b,hendrycksTest-college_medicine,5-shot,accuracy,0.2254335260115607,0.0318620985164114
Deci/DeciCoder-1b,hendrycksTest-college_medicine,5-shot,acc_norm,0.2254335260115607,0.0318620985164114
Deci/DeciCoder-1b,hendrycksTest-college_physics,5-shot,accuracy,0.2549019607843137,0.0433643270799317
Deci/DeciCoder-1b,hendrycksTest-college_physics,5-shot,acc_norm,0.2549019607843137,0.0433643270799317
Deci/DeciCoder-1b,hendrycksTest-computer_security,5-shot,accuracy,0.27,0.0446196043338474
Deci/DeciCoder-1b,hendrycksTest-computer_security,5-shot,acc_norm,0.27,0.0446196043338474
Deci/DeciCoder-1b,hendrycksTest-conceptual_physics,5-shot,accuracy,0.2808510638297872,0.0293791704641248
Deci/DeciCoder-1b,hendrycksTest-conceptual_physics,5-shot,acc_norm,0.2808510638297872,0.0293791704641248
Deci/DeciCoder-1b,hendrycksTest-econometrics,5-shot,accuracy,0.2017543859649122,0.0377520501358363
Deci/DeciCoder-1b,hendrycksTest-econometrics,5-shot,acc_norm,0.2017543859649122,0.0377520501358363
Deci/DeciCoder-1b,hendrycksTest-electrical_engineering,5-shot,accuracy,0.2275862068965517,0.0349395038013118
Deci/DeciCoder-1b,hendrycksTest-electrical_engineering,5-shot,acc_norm,0.2275862068965517,0.0349395038013118
Deci/DeciCoder-1b,hendrycksTest-elementary_mathematics,5-shot,accuracy,0.2328042328042328,0.0217659616721545
Deci/DeciCoder-1b,hendrycksTest-elementary_mathematics,5-shot,acc_norm,0.2328042328042328,0.0217659616721545
Deci/DeciCoder-1b,hendrycksTest-formal_logic,5-shot,accuracy,0.2698412698412698,0.0397015827323517
Deci/DeciCoder-1b,hendrycksTest-formal_logic,5-shot,acc_norm,0.2698412698412698,0.0397015827323517
Deci/DeciCoder-1b,hendrycksTest-global_facts,5-shot,accuracy,0.3,0.0460566186471838
Deci/DeciCoder-1b,hendrycksTest-global_facts,5-shot,acc_norm,0.3,0.0460566186471838
Deci/DeciCoder-1b,hendrycksTest-high_school_biology,5-shot,accuracy,0.1741935483870967,0.0215762481845145
Deci/DeciCoder-1b,hendrycksTest-high_school_biology,5-shot,acc_norm,0.1741935483870967,0.0215762481845145
Deci/DeciCoder-1b,hendrycksTest-high_school_chemistry,5-shot,accuracy,0.1871921182266009,0.0274449249668826
Deci/DeciCoder-1b,hendrycksTest-high_school_chemistry,5-shot,acc_norm,0.1871921182266009,0.0274449249668826
Deci/DeciCoder-1b,hendrycksTest-high_school_computer_science,5-shot,accuracy,0.3,0.0460566186471838
Deci/DeciCoder-1b,hendrycksTest-high_school_computer_science,5-shot,acc_norm,0.3,0.0460566186471838
Deci/DeciCoder-1b,hendrycksTest-high_school_european_history,5-shot,accuracy,0.2303030303030303,0.0328766675860348
Deci/DeciCoder-1b,hendrycksTest-high_school_european_history,5-shot,acc_norm,0.2303030303030303,0.0328766675860348
Deci/DeciCoder-1b,hendrycksTest-high_school_geography,5-shot,accuracy,0.207070707070707,0.028869778460267
Deci/DeciCoder-1b,hendrycksTest-high_school_geography,5-shot,acc_norm,0.207070707070707,0.028869778460267
Deci/DeciCoder-1b,hendrycksTest-high_school_government_and_politics,5-shot,accuracy,0.2072538860103626,0.0292528232918036
Deci/DeciCoder-1b,hendrycksTest-high_school_government_and_politics,5-shot,acc_norm,0.2072538860103626,0.0292528232918036
Deci/DeciCoder-1b,hendrycksTest-high_school_macroeconomics,5-shot,accuracy,0.1948717948717948,0.0200831675951813
Deci/DeciCoder-1b,hendrycksTest-high_school_macroeconomics,5-shot,acc_norm,0.1948717948717948,0.0200831675951813
Deci/DeciCoder-1b,hendrycksTest-high_school_mathematics,5-shot,accuracy,0.2444444444444444,0.0262027665346521
Deci/DeciCoder-1b,hendrycksTest-high_school_mathematics,5-shot,acc_norm,0.2444444444444444,0.0262027665346521
Deci/DeciCoder-1b,hendrycksTest-high_school_microeconomics,5-shot,accuracy,0.1932773109243697,0.0256494702658891
Deci/DeciCoder-1b,hendrycksTest-high_school_microeconomics,5-shot,acc_norm,0.1932773109243697,0.0256494702658891
Deci/DeciCoder-1b,hendrycksTest-high_school_physics,5-shot,accuracy,0.2649006622516556,0.0360303854536038
Deci/DeciCoder-1b,hendrycksTest-high_school_physics,5-shot,acc_norm,0.2649006622516556,0.0360303854536038
Deci/DeciCoder-1b,hendrycksTest-high_school_psychology,5-shot,accuracy,0.1908256880733945,0.0168476764000911
Deci/DeciCoder-1b,hendrycksTest-high_school_psychology,5-shot,acc_norm,0.1908256880733945,0.0168476764000911
Deci/DeciCoder-1b,hendrycksTest-high_school_statistics,5-shot,accuracy,0.1712962962962963,0.0256953416438246
Deci/DeciCoder-1b,hendrycksTest-high_school_statistics,5-shot,acc_norm,0.1712962962962963,0.0256953416438246
Deci/DeciCoder-1b,hendrycksTest-high_school_us_history,5-shot,accuracy,0.2598039215686274,0.0307785546786932
Deci/DeciCoder-1b,hendrycksTest-high_school_us_history,5-shot,acc_norm,0.2598039215686274,0.0307785546786932
Deci/DeciCoder-1b,hendrycksTest-high_school_world_history,5-shot,accuracy,0.270042194092827,0.0289007219062934
Deci/DeciCoder-1b,hendrycksTest-high_school_world_history,5-shot,acc_norm,0.270042194092827,0.0289007219062934
Deci/DeciCoder-1b,hendrycksTest-human_aging,5-shot,accuracy,0.3094170403587444,0.0310244117405722
Deci/DeciCoder-1b,hendrycksTest-human_aging,5-shot,acc_norm,0.3094170403587444,0.0310244117405722
Deci/DeciCoder-1b,hendrycksTest-human_sexuality,5-shot,accuracy,0.2824427480916031,0.0394840612576836
Deci/DeciCoder-1b,hendrycksTest-human_sexuality,5-shot,acc_norm,0.2824427480916031,0.0394840612576836
