id,pretraining_summary_total_tokens_billions,pretraining_summary_percentage_web,pretraining_summary_percentage_code,pretraining_summary_percentage_books,pretraining_summary_percentage_reference,pretraining_summary_percentage_academic,pretraining_summary_percentage_english,metadata
AbacusResearch/Jallabi-34B,3100,80.83,8.53,2.69,1.09,4.87,75,
aisingapore/sea-lion-7b,980,80.52,19.48,0,0,3.12,72.28,
allenai/OLMo-7B-hf,2460,82,13.43,0.2,0.14,2.29,100,
bigscience/bloom-1b7,350,58.1,11,0.6,29.4,0.2,31.3,
bigscience/bloom-7b1,350,58.1,11,0.6,29.4,0.2,31.3,
cerebras/btlm-3b-8k-base,627,78.8,8.3,4.1,3.7,4.5,100,
cerebras/Cerebras-GPT-1.3B,371,37,8,15,12,28,100,
cerebras/Cerebras-GPT-13B,371,37,8,15,12,28,100,
cerebras/Cerebras-GPT-2.7B,371,37,8,15,12,28,100,
cerebras/Cerebras-GPT-6.7B,371,37,8,15,12,28,100,
EleutherAI/gpt-j-6b,402,37,8,15,12,28,100,
EleutherAI/gpt-neo-125m,300.0,37.0,8.0,15.0,12.0,28.0,100.0,
EleutherAI/gpt-neo-1.3B,380,37,8,15,12,28,100,
EleutherAI/gpt-neo-2.7B,420,37,8,15,12,28,100,
EleutherAI/gpt-neox-20b,472.5,37,8,15,12,28,100,
EleutherAI/pythia-1.4b,371,37,8,15,12,28,100,
EleutherAI/pythia-1.4b-deduped,371,37,8,15,12,28,100,
EleutherAI/pythia-12b,371,37,8,15,12,28,100,
EleutherAI/pythia-12b-deduped,371,37,8,15,12,28,100,
EleutherAI/pythia-14m,371,37,8,15,12,28,100,
EleutherAI/pythia-160m,371,37,8,15,12,28,100,
EleutherAI/pythia-160m-deduped,371,37,8,15,12,28,100,
EleutherAI/pythia-1b,371,37,8,15,12,28,100,
EleutherAI/pythia-1b-deduped,371,37,8,15,12,28,100,
EleutherAI/pythia-2.8b,371,37,8,15,12,28,100,
EleutherAI/pythia-2.8b-deduped,371,37,8,15,12,28,100,
EleutherAI/pythia-410m,371,37,8,15,12,28,100,
EleutherAI/pythia-410m-deduped,371,37,8,15,12,28,100,
EleutherAI/pythia-6.9b,371,37,8,15,12,28,100,
EleutherAI/pythia-6.9b-deduped,371,37,8,15,12,28,100,
EleutherAI/pythia-70m,371,37,8,15,12,28,100,
EleutherAI/pythia-70m-deduped,371,37,8,15,12,28,100,
huggyllama/llama-7b,1250,82,6.5,4.5,0,2.5,100,
mosaicml/mpt-30b,1000,71.9,15.9,3,4,5.2,96.49,
mosaicml/mpt-30b-instruct,1000,71.9,15.9,3,4,5.2,96.49,
mosaicml/mpt-7b,1000,71.9,15.9,3,4,5.2,96.49,
mosaicml/mpt-7b-instruct,1000,71.9,15.9,3,4,5.2,96.49,
Salesforce/codegen-16B-mono,577.2,61.5,38.5,0,0,0,100,
Salesforce/codegen-16B-multi,505,70.2,29.8,0,0,0,100,
Salesforce/codegen-16B-nl,386.3,37,8,15,12,28,100,
Salesforce/codegen-2B-mono,577.2,61.5,38.5,0,0,0,100,
Salesforce/codegen-2B-multi,505,70.2,29.8,0,0,0,100,
Salesforce/codegen-2B-nl,386.3,37,8,15,12,28,100,
Salesforce/codegen-350M-mono,577.2,61.5,38.5,0,0,0,100,
Salesforce/codegen-350M-multi,505,70.2,29.8,0,0,0,100,
Salesforce/codegen-350M-nl,386.3,37,8,15,12,28,100,
Salesforce/codegen-6B-mono,577.2,61.5,38.5,0,0,0,100,
Salesforce/codegen-6B-multi,505,70.2,29.8,0,0,0,100,
Salesforce/codegen-6B-nl,386.3,37,8,15,12,28,100,
tiiuae/falcon-7b,1500,82,3,7,0,2,97,
HuggingFaceTB/SmolLM-1.7B,1000,87.3,1.98,0,10.7,0,100,
HuggingFaceTB/SmolLM-360M,600,87.3,1.98,0,10.7,0,100,
HuggingFaceTB/SmolLM-135M,600,87.3,1.98,0,10.7,0,100,
microsoft/phi-1_5,150,0,20,0,80,0,100,
01-ai/Yi-34B-200K,3105,80.86,8.53,2.69,1.09,4.87,80,
01-ai/Yi-34B,3100,80.86,8.53,2.69,1.09,4.87,80,
01-ai/Yi-9B,3900,80.86,8.53,2.69,1.09,4.87,80
NinedayWang/PolyCoder-2.7B,39,0,100,0,0,0,0,
LLM360/CrystalCoder,1382.0,27.46,55.6,1.42,1.24,1.5,,
LLM360/Amber,1300.0,68.51,24.91,2.29,1.9,2.38,-1.0,
