id,benchmark,setting,metric,metric_value,metric_stderr
Deci/DeciCoder-1b,drop,3-shot,accuracy,0.0006291946308724832,0.0002568002749723942
Deci/DeciCoder-1b,drop,3-shot,f1,0.02978817114093966,0.0009513874747103622
Deci/DeciCoder-1b,gsm8k,5-shot,accuracy,0.017437452615617893,0.003605486867998233
Deci/DeciCoder-1b,winogrande,5-shot,accuracy,0.5082872928176796,0.014050555322824189
Deci/DeciCoder-1b,arc:challenge,25-shot,accuracy,0.16040955631399317,0.010724336059110964
Deci/DeciCoder-1b,arc:challenge,25-shot,acc_norm,0.21160409556313994,0.011935916358632875
Deci/DeciCoder-1b,hellaswag,10-shot,accuracy,0.2826130252937662,0.004493495872000129
Deci/DeciCoder-1b,hellaswag,10-shot,acc_norm,0.31089424417446726,0.004619136497359843
Deci/DeciCoder-1b,hendrycksTest-abstract_algebra,5-shot,accuracy,0.29,0.04560480215720683
Deci/DeciCoder-1b,hendrycksTest-abstract_algebra,5-shot,acc_norm,0.29,0.04560480215720683
Deci/DeciCoder-1b,hendrycksTest-anatomy,5-shot,accuracy,0.25925925925925924,0.03785714465066654
Deci/DeciCoder-1b,hendrycksTest-anatomy,5-shot,acc_norm,0.25925925925925924,0.03785714465066654
Deci/DeciCoder-1b,hendrycksTest-astronomy,5-shot,accuracy,0.2631578947368421,0.035834961763610645
Deci/DeciCoder-1b,hendrycksTest-astronomy,5-shot,acc_norm,0.2631578947368421,0.035834961763610645
Deci/DeciCoder-1b,hendrycksTest-business_ethics,5-shot,accuracy,0.33,0.047258156262526045
Deci/DeciCoder-1b,hendrycksTest-business_ethics,5-shot,acc_norm,0.33,0.047258156262526045
Deci/DeciCoder-1b,hendrycksTest-clinical_knowledge,5-shot,accuracy,0.2,0.024618298195866518
Deci/DeciCoder-1b,hendrycksTest-clinical_knowledge,5-shot,acc_norm,0.2,0.024618298195866518
Deci/DeciCoder-1b,hendrycksTest-college_biology,5-shot,accuracy,0.2638888888888889,0.03685651095897532
Deci/DeciCoder-1b,hendrycksTest-college_biology,5-shot,acc_norm,0.2638888888888889,0.03685651095897532
Deci/DeciCoder-1b,hendrycksTest-college_chemistry,5-shot,accuracy,0.26,0.04408440022768078
Deci/DeciCoder-1b,hendrycksTest-college_chemistry,5-shot,acc_norm,0.26,0.04408440022768078
Deci/DeciCoder-1b,hendrycksTest-college_computer_science,5-shot,accuracy,0.19,0.039427724440366255
Deci/DeciCoder-1b,hendrycksTest-college_computer_science,5-shot,acc_norm,0.19,0.039427724440366255
Deci/DeciCoder-1b,hendrycksTest-college_mathematics,5-shot,accuracy,0.22,0.04163331998932268
Deci/DeciCoder-1b,hendrycksTest-college_mathematics,5-shot,acc_norm,0.22,0.04163331998932268
Deci/DeciCoder-1b,hendrycksTest-college_medicine,5-shot,accuracy,0.2254335260115607,0.03186209851641144
Deci/DeciCoder-1b,hendrycksTest-college_medicine,5-shot,acc_norm,0.2254335260115607,0.03186209851641144
Deci/DeciCoder-1b,hendrycksTest-college_physics,5-shot,accuracy,0.2549019607843137,0.043364327079931785
Deci/DeciCoder-1b,hendrycksTest-college_physics,5-shot,acc_norm,0.2549019607843137,0.043364327079931785
Deci/DeciCoder-1b,hendrycksTest-computer_security,5-shot,accuracy,0.27,0.0446196043338474
Deci/DeciCoder-1b,hendrycksTest-computer_security,5-shot,acc_norm,0.27,0.0446196043338474
Deci/DeciCoder-1b,hendrycksTest-conceptual_physics,5-shot,accuracy,0.28085106382978725,0.02937917046412482
Deci/DeciCoder-1b,hendrycksTest-conceptual_physics,5-shot,acc_norm,0.28085106382978725,0.02937917046412482
Deci/DeciCoder-1b,hendrycksTest-econometrics,5-shot,accuracy,0.20175438596491227,0.037752050135836386
Deci/DeciCoder-1b,hendrycksTest-econometrics,5-shot,acc_norm,0.20175438596491227,0.037752050135836386
Deci/DeciCoder-1b,hendrycksTest-electrical_engineering,5-shot,accuracy,0.22758620689655173,0.03493950380131184
Deci/DeciCoder-1b,hendrycksTest-electrical_engineering,5-shot,acc_norm,0.22758620689655173,0.03493950380131184
