TaskID,model_size,nl_code_mix,checkpt_path,model_config,data_config,tokenizer,total_train_toks,command
1,220M,nl_0_code_100,/data/tir/projects/tir5/users/mengyan3/dolma_checkpts/dolma/llama2_220M_nl_0_code_100,/data/tir/projects/tir6/general/mengyan3/tower-llm-training/demo_scripts/configs/model_config/Llama2_220M.yaml,/data/tir/projects/tir6/general/mengyan3/tower-llm-training/demo_scripts/configs/data_config/100B/code_vs_nl/nl_0_code_100.txt,meta-llama/Llama-2-7b-hf,98000000000,/data/tir/projects/tir6/general/mengyan3/tower-llm-training/demo_scripts/train_model_arr.sh
2,220M,nl_20_code_80,/data/tir/projects/tir5/users/mengyan3/dolma_checkpts/dolma/llama2_220M_nl_20_code_80,/data/tir/projects/tir6/general/mengyan3/tower-llm-training/demo_scripts/configs/model_config/Llama2_220M.yaml,/data/tir/projects/tir6/general/mengyan3/tower-llm-training/demo_scripts/configs/data_config/100B/code_vs_nl/nl_20_code_80.txt,meta-llama/Llama-2-7b-hf,98000000000,/data/tir/projects/tir6/general/mengyan3/tower-llm-training/demo_scripts/train_model_arr.sh
3,220M,nl_40_code_60,/data/tir/projects/tir5/users/mengyan3/dolma_checkpts/dolma/llama2_220M_nl_40_code_60,/data/tir/projects/tir6/general/mengyan3/tower-llm-training/demo_scripts/configs/model_config/Llama2_220M.yaml,/data/tir/projects/tir6/general/mengyan3/tower-llm-training/demo_scripts/configs/data_config/100B/code_vs_nl/nl_40_code_60.txt,meta-llama/Llama-2-7b-hf,98000000000,/data/tir/projects/tir6/general/mengyan3/tower-llm-training/demo_scripts/train_model_arr.sh
4,220M,nl_60_code_40,/data/tir/projects/tir5/users/mengyan3/dolma_checkpts/dolma/llama2_220M_nl_60_code_40,/data/tir/projects/tir6/general/mengyan3/tower-llm-training/demo_scripts/configs/model_config/Llama2_220M.yaml,/data/tir/projects/tir6/general/mengyan3/tower-llm-training/demo_scripts/configs/data_config/100B/code_vs_nl/nl_60_code_40.txt,meta-llama/Llama-2-7b-hf,98000000000,/data/tir/projects/tir6/general/mengyan3/tower-llm-training/demo_scripts/train_model_arr.sh
5,220M,nl_100_code_0,/data/tir/projects/tir5/users/mengyan3/dolma_checkpts/dolma/llama2_220M_nl_100_code_0,/data/tir/projects/tir6/general/mengyan3/tower-llm-training/demo_scripts/configs/model_config/Llama2_220M.yaml,/data/tir/projects/tir6/general/mengyan3/tower-llm-training/demo_scripts/configs/data_config/100B/code_vs_nl/nl_100_code_0.txt,meta-llama/Llama-2-7b-hf,98000000000,/data/tir/projects/tir6/general/mengyan3/tower-llm-training/demo_scripts/train_model_arr.sh
6,460M,nl_0_code_100,/data/tir/projects/tir5/users/mengyan3/dolma_checkpts/dolma/llama2_460M_nl_0_code_100,/data/tir/projects/tir6/general/mengyan3/tower-llm-training/demo_scripts/configs/model_config/Llama2_460M.yaml,/data/tir/projects/tir6/general/mengyan3/tower-llm-training/demo_scripts/configs/data_config/100B/code_vs_nl/nl_0_code_100.txt,meta-llama/Llama-2-7b-hf,98000000000,/data/tir/projects/tir6/general/mengyan3/tower-llm-training/demo_scripts/train_model_arr.sh
7,460M,nl_20_code_80,/data/tir/projects/tir5/users/mengyan3/dolma_checkpts/dolma/llama2_460M_nl_20_code_80,/data/tir/projects/tir6/general/mengyan3/tower-llm-training/demo_scripts/configs/model_config/Llama2_460M.yaml,/data/tir/projects/tir6/general/mengyan3/tower-llm-training/demo_scripts/configs/data_config/100B/code_vs_nl/nl_20_code_80.txt,meta-llama/Llama-2-7b-hf,98000000000,/data/tir/projects/tir6/general/mengyan3/tower-llm-training/demo_scripts/train_model_arr.sh
8,460M,nl_40_code_60,/data/tir/projects/tir5/users/mengyan3/dolma_checkpts/dolma/llama2_460M_nl_40_code_60,/data/tir/projects/tir6/general/mengyan3/tower-llm-training/demo_scripts/configs/model_config/Llama2_460M.yaml,/data/tir/projects/tir6/general/mengyan3/tower-llm-training/demo_scripts/configs/data_config/100B/code_vs_nl/nl_40_code_60.txt,meta-llama/Llama-2-7b-hf,98000000000,/data/tir/projects/tir6/general/mengyan3/tower-llm-training/demo_scripts/train_model_arr.sh
9,460M,nl_60_code_40,/data/tir/projects/tir5/users/mengyan3/dolma_checkpts/dolma/llama2_460M_nl_60_code_40,/data/tir/projects/tir6/general/mengyan3/tower-llm-training/demo_scripts/configs/model_config/Llama2_460M.yaml,/data/tir/projects/tir6/general/mengyan3/tower-llm-training/demo_scripts/configs/data_config/100B/code_vs_nl/nl_60_code_40.txt,meta-llama/Llama-2-7b-hf,98000000000,/data/tir/projects/tir6/general/mengyan3/tower-llm-training/demo_scripts/train_model_arr.sh
10,460M,nl_100_code_0,/data/tir/projects/tir5/users/mengyan3/dolma_checkpts/dolma/llama2_460M_nl_100_code_0,/data/tir/projects/tir6/general/mengyan3/tower-llm-training/demo_scripts/configs/model_config/Llama2_460M.yaml,/data/tir/projects/tir6/general/mengyan3/tower-llm-training/demo_scripts/configs/data_config/100B/code_vs_nl/nl_100_code_0.txt,meta-llama/Llama-2-7b-hf,98000000000,/data/tir/projects/tir6/general/mengyan3/tower-llm-training/demo_scripts/train_model_arr.sh
