id,dimension,num_heads,mlp_ratio,layer_norm_type,positional_embeddings,attention_variant,biases,block_type,activation,sequence_length,batch_instances,batch_tokens,weight_tying,is_instruction_tuned,is_preference_tuned,total_params
meta-llama/Llama-2-13b-hf,5120,40,2.7,rmsnorm,rope,gqa,none,sequential,swiglu,4096,1000,,false,false,false,13015866880
meta-llama/Llama-2-70b-chat-hf,8192,64,3.5,rmsnorm,rope,gqa,none,sequential,swiglu,4096,1024,,false,true,true,68976653312
EleutherAI/pythia-410m-deduped,1024,16,4.0,,,,,,gelu,2048,,,false,,,505997504
Salesforce/codegen25-7b-multi_P,4096,32,2.6875,,,,,,silu,2048,,,false,false,false,
IEITYuan/Yuan2-2B-hf,2048,32,4.0,,,,,,silu,8192,,,true,true,false,
AbacusResearch/Jallabi-34B,7168,56,2.857142857,rmsnorm,rope,gqa,none,sequential,swiglu,4096,,,false,false,false,34388917248
cerebras/Cerebras-GPT-2.7B,2560,32,4.0,,learned,,,,,2048,528,,true,false,false,2700000000
cerebras/Cerebras-GPT-6.7B,4096,32,4.0,,learned,,,,,2048,1040,,true,false,false,6700000000
Salesforce/codegen-16B-nl,6144,24,,,rope,full,,parallel,gelu_new,2048,1000,,false,false,false,16000000000
mosaicml/mpt-7b,4096,32,,,alibi,full,none,,relu,2048,,,false,false,false,7000000000
EleutherAI/pythia-2.8b-deduped,2560,32,4.0,,,,,,gelu,2048,,,false,,,2909427008
aisingapore/sea-lion-7b,4096,32,,,,,,,,2048,,,false,false,false,7501651968
tiiuae/falcon-7b,4544,71,4.0,parametric,rope,mqa,ln_only,parallel,gelu,2048,2304,,false,false,false,6921720704
allenai/OLMo-7B,4096,32,5.375,non-parametric,rope,full,none,sequential,swiglu,2048,2160,,false,false,false,6888095744
playdev7/theseed-v0.3,4096,32,3.5,rmsnorm,rope,gqa,,,swiglu,32768,,,false,,,24367733477
mosaicml/mpt-7b-storywriter,4096,32,,,alibi,full,none,,relu,65536,,,false,true,false,7000000000
huggyllama/llama-7b,4096,32,2.666667,rmsnorm,rope,full,none,sequential,swiglu,2048,1024,,false,false,false,6738417664
NousResearch/Nous-Hermes-2-Yi-34B,7168,56,2.857142857,,,,,,silu,4096,,,false,true,,34388917248
Salesforce/codegen-16B-multi,,,,,,,,,,,,,false,false,false,
facebook/opt-350m,1024,16,4.0,,,,,sequential,relu,2048,250,,false,false,false,350000000
cerebras/Cerebras-GPT-1.3B,2048,16,4.0,,learned,,,,,2048,528,,true,false,false,1300000000
facebook/xglm-4.5B,2048,16,8.0,,,,,sequential,relu,2048,2000,,false,false,false,5076815872
EleutherAI/pile-t5-large,1024,16,2.75,,relative,full,,sequential,gelu_new,512,2048,,false,false,false,783173632
meta-llama/Meta-Llama-3-8B-Instruct,4096,32,3.5,rmsnorm,rope,gqa,none,sequential,swiglu,8192,,,false,true,true,8030261248
Salesforce/codegen-2B-multi,2560,32,,,rope,full,,parallel,,2048,500,,false,false,false,2000000000
EleutherAI/pythia-1b,2048,8,4.0,,,,,,gelu,2048,,,false,,,1078891008
mistralai/Mistral-7B-v0.1,4096,32,3.5,rmsnorm,rope,gqa,none,sequential,silu,4096,,,false,false,false,7241732096
EleutherAI/pythia-70m-deduped,512,8,4.0,,,,,,gelu,2048,,,false,,,95592496
openai-community/gpt2,768,12,,,,,,,gelu,1024,,,false,false,false,137022720
mosaicml/mpt-7b-instruct,4096,32,,,alibi,full,none,,relu,2048,,,false,true,false,7000000000
Salesforce/codegen-2B-nl,2560,32,,,rope,full,,parallel,gelu_new,2048,500,,false,false,false,2700000000
